dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,312,0.282636,0.249101,0.468264,0.638430,0.000020,0.361550,0.632996,0.000052,0.366953
0.000100,0.100000,0.300000,0.500000,313,0.282636,0.249101,0.468264,0.519415,0.000037,0.480548,0.584458,0.000031,0.415511
0.000100,0.100000,0.300000,0.500000,314,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,315,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,316,0.282636,0.249101,0.468264,0.628819,0.000005,0.371176,0.629763,0.000010,0.370227
0.000100,0.100000,0.300000,0.500000,317,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,318,0.282636,0.249101,0.468264,0.615811,0.000005,0.384184,0.624944,0.000008,0.375048
0.000100,0.100000,0.300000,0.500000,319,0.282636,0.249101,0.468264,0.570243,0.000647,0.429109,0.606930,0.000182,0.392888
0.000100,0.100000,0.300000,0.500000,320,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,321,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,322,0.282636,0.249101,0.468264,0.657473,0.000022,0.342505,0.639702,0.000035,0.360263
0.000100,0.100000,0.300000,0.500000,323,0.282636,0.249101,0.468264,0.639706,0.000842,0.359451,0.633762,0.000193,0.366046
0.000100,0.100000,0.300000,0.500000,324,0.282636,0.249101,0.468264,0.688470,0.000026,0.311504,0.650794,0.000029,0.349176
0.000100,0.100000,0.300000,0.500000,325,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,326,0.282636,0.249101,0.468264,0.550596,0.001721,0.447684,0.599250,0.000288,0.400462
0.000100,0.100000,0.300000,0.500000,327,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,328,0.282636,0.249101,0.468264,0.764770,0.000257,0.234973,0.674191,0.000095,0.325714
0.000100,0.100000,0.300000,0.500000,329,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,330,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,331,0.282636,0.249101,0.468264,0.658300,0.000056,0.341644,0.640291,0.000049,0.359660
0.000100,0.100000,0.300000,0.500000,332,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000056,0.559831,0.440112
0.000100,0.100000,0.300000,0.500000,333,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,334,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,335,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,336,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,337,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,338,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,339,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.548895,0.012094,0.439011
0.000100,0.100000,0.300000,0.500000,340,0.282636,0.249101,0.468264,0.567672,0.000007,0.432321,0.605858,0.000018,0.394123
0.000100,0.100000,0.300000,0.500000,341,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,342,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,343,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,344,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,345,0.282636,0.249101,0.468264,0.554711,0.000012,0.445277,0.600171,0.000019,0.399810
0.000100,0.100000,0.300000,0.500000,346,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,347,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,348,0.282636,0.249101,0.468264,0.685089,0.000015,0.314896,0.649803,0.000026,0.350171
0.000100,0.100000,0.300000,0.500000,349,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,350,0.282636,0.249101,0.468264,0.696998,0.000006,0.302996,0.653578,0.000009,0.346413
